posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
209,210,23:41:52,00:00:00,Carmelo-Vicente GONZALEZ-GARCIA,N/D,N/D,M,VET-B,bluetrail,2018
210,211,23:45:40,00:00:00,Jose-Maria IZQUIERDO-SANCHEZ,N/D,N/D,M,VET-B,bluetrail,2018
211,212,23:45:45,00:00:00,Maria Yaiza CABRERA GARCIA,N/D,N/D,F,VET-A,bluetrail,2018
212,213,23:47:24,00:00:00,Antonio SANTOS-LORENZO,N/D,N/D,M,VET-A,bluetrail,2018
213,214,23:47:25,00:00:00,Alberto SOSA-FELIPE,N/D,N/D,M,VET-A,bluetrail,2018
214,215,23:53:18,00:00:00,Dariusz GNIEWEK,N/D,N/D,M,VET-B,bluetrail,2018
215,216,23:53:18,00:00:00,Błażej BUKOWY,N/D,N/D,M,SENIOR,bluetrail,2018
216,217,23:55:56,00:00:00,Julian DELGADO-GONZALEZ,N/D,N/D,M,VET-A,bluetrail,2018
217,218,23:55:57,00:00:00,Sergi HUGUET-BORRELL,N/D,N/D,M,VET-A,bluetrail,2018
218,219,23:55:58,00:00:00,Maximo RIVERO LUJAN,N/D,N/D,M,VET-A,bluetrail,2018
219,220,23:56:03,00:00:00,Leocadio BARRETO-REYES,N/D,N/D,M,VET-B,bluetrail,2018
220,221,23:56:44,00:00:00,Gerardo ORONOZ-ALONSO,N/D,N/D,M,VET-B,bluetrail,2018
221,222,23:59:02,00:00:00,Martin STORK,N/D,N/D,M,SENIOR,bluetrail,2018
